,apellido,frec_pri,frec_seg,freq_rep
18610,LOPEZ DE ABERASTURI,159,128,0
18624,SAINZ DE MURIETA,159,89,0
18634,EL HASSNAOUI,159,24,0
18636,EL ARABI,159,20,0
18645,DEL VADO,158,252,0
18678,SAENZ DE UGARTE,158,149,0
18691,LOPEZ DE MURILLAS,158,128,0
18693,PEREZ DE EULATE,158,127,0
18722,IÑIGUEZ DE HEREDIA,157,226,0
18771,DE LEYVA,157,138,0
18781,PEREZ DE MENDIOLA,157,120,0
18795,DE GROOT,157,42,0
18821,PEREZ DE LEON,156,186,0
18882,EL JEBARI,156,47,0
18893,EL ABBADI,156,18,0
18930,OCHOA DE ALDA,155,160,0
18946,DE LA PISA,155,146,0
18955,SANCHEZ DE CASTRO,155,138,0
18964,SAINZ DE AJA,155,127,0
18987,EL HAJOUI,155,26,5
18990,EL MASSAOUDI,155,15,0
19002,DE CARDENAS,154,197,0
19032,DE LA PRESA,154,145,0
19041,DE CARA,154,139,0
19065,SAN MATIAS,154,110,0
19141,DE ISIDRO,153,135,0
19155,DE LA UZ,153,118,0
19157,DE GABRIEL,153,113,0
19214,DE PALACIO,152,152,0
19236,DO NASCIMIENTO,152,130,0
19264,ALVAREZ DE SOTOMAYOR,151,216,0
19270,DE LA COLINA,151,176,0
19280,DE TAPIA,151,164,0
19340,EL HARCHAOUI,151,16,0
19359,DE ALARCON,150,158,0
19360,DEL DIEGO,150,156,0
19384,FERNANDEZ DE VALDERRAMA,150,128,0
19388,DE ANTON,150,124,0
19396,GARCIA DE MATEOS,150,118,0
19409,CALDERON DE LA BARCA,150,99,0
19420,EL HAJJAMI,150,33,0
19433,BEN YOUSSEF,150,12,0
19437,EL KABOURI,150,6,0
19455,SAN CLEMENTE,149,162,0
19459,MARTINEZ DE OSABA,149,155,0
19461,GONZALEZ DE LANGARICA,149,154,0
19511,SAN LEANDRO,149,97,0
19515,DE LOS RISCOS,149,69,0
19612,LOPEZ DE LOS MOZOS,148,104,0
19633,EL OUADI,148,13,0
19659,LOS SANTOS,147,166,0
19698,SAEZ DE JAUREGUI,147,119,7
19706,GONZALEZ DEL CAMPO,147,108,0
19712,SAN NARCISO,147,97,0
19722,EL AFIA,147,30,0
19751,DE PAZOS,146,157,0
19753,DE ROMAN,146,155,0
19789,JIMENEZ DE LOS GALANES,146,122,0
19801,FERNANDEZ DE MESA,146,89,0
19811,ALVAREZ DE CIENFUEGOS,146,54,0
19823,EL GOURARI,146,26,0
19831,EL HAMDANI,146,17,0
19832,EL HANNAOUI,146,17,0
19859,SAN GINES,145,158,0
19893,DE DUEÑAS,145,117,0
19903,RUIZ DE ERENCHUN,145,94,0
19918,EL ACHHAB,145,25,0
19937,DEL PUEBLO,144,226,0
19938,DE MORAES,144,196,0
19953,DEL SANTO,144,161,0
19990,LOPEZ DE MOTA,144,114,0
20009,DIAZ DE RADA,144,80,0
20053,DE ASSIS,143,145,0
20064,LUCA DE TENA,143,131,0
20080,SAEZ DE VICUÑA,143,114,0
20086,MARTINEZ DE GUEREÑU,143,103,0
20091,DEL VIGO,143,88,0
20104,EL ARFAOUI,143,20,0
20108,EL IBRAHIMI,143,15,0
20144,OCHOA DE RETANA,142,139,0
20159,ALVAREZ DE LARA,142,120,0
20173,IBAÑEZ DE OPACUA,142,102,0
20174,DEL CUVILLO,142,98,0
20179,DE LA CARRERA,142,93,0
20183,GONZALEZ DE ZARATE,142,90,0
20184,LOPEZ DE GOICOECHEA,142,86,0
20198,EL MRINI,142,14,0
20234,DIAZ DE TUESTA,141,152,0
20235,ORTIZ DE LANDALUCE,141,152,0
20239,DE OLEO,141,150,0
20256,DE CORDOBA,141,136,0
20272,DIAZ DE GARAYO,141,125,0
20289,DIAZ DE LEZANA,141,108,6
20324,EL KIHEL,141,11,0
20345,DE LAS FUENTES,140,155,0
20362,DE ROZAS,140,136,0
20374,GARCIA DE LA VEGA,140,126,0
20379,DA CUÑA,140,122,0
20386,CABELLO DE ALBA,140,111,6
20388,ROCA DE TOGORES,140,108,0
20408,EL AYACHI,140,41,0
20411,EL MESSARI,140,31,0
20413,EL HAOUZI,140,28,0
20415,EL HAMZAOUI,140,25,6
20423,EL HANAFI,140,19,0
20427,EL MEJDOUBI,140,17,0
20449,DE INES,139,159,0
20464,GARCIA DE LEANIZ,139,142,0
20475,DE LOS LLANOS,139,133,0
20481,SAN BRUNO,139,130,0
20495,VELAZQUEZ DE CASTRO,139,111,0
20509,DIEZ DEL CORRAL,139,91,0
20514,BEN ALLAL,139,48,0
20515,EL OUARDANI,139,48,0
20518,EL MOUMNI,139,33,0
20520,EL MAJDOUB,139,27,0
20531,EL ANZI,139,15,0
20549,LOPEZ DE AYALA,138,170,0
20550,FERNANDEZ DEL CAMPO,138,167,0
20556,FERNANDEZ DE GAMBOA,138,153,0
20606,DE LA DEHESA,138,110,0
20609,LOPEZ DE LA NIETA,138,108,0
20611,FERNANDEZ DE CORDOVA,138,96,0
20622,MARTINEZ DE AGUIRRE,138,82,0
20631,EL MIMOUNI,138,27,0
20654,DE GODOS,137,158,8
20671,PEREZ DE CIRIZA,137,137,0
20690,VAZ ROMERO,137,123,0
20691,MARTINEZ DE SALINAS,137,122,0
20717,GARCIA DEL VALLE,137,83,0
20729,EL MAZANI,137,26,0
20738,EL MAKHLOUFI,137,10,0
20803,DE LA COVA,136,124,0
20825,MARTINEZ DE VELASCO,136,111,0
20826,SID AHMED,136,111,0
20842,BEN SALAH,136,49,0
20845,EL HAMMOUCHI,136,31,0
20851,EL AISSATI,136,21,0
20852,EL AZHARI,136,21,0
20853,EL BAZI,136,21,0
20868,DE MIRANDA,135,225,0
20916,RUIZ DE ANGULO,135,124,0
20960,EL GHALI,135,22,0
20963,EL KARKRI,135,15,0
20986,DO SANTOS,134,167,5
21038,ROMERO DE LA OSA,134,113,0
21043,PEREZ DE SAN ROMAN,134,107,0
21049,FERNANDEZ DE LABASTIDA,134,100,0
21057,GARCIA DE LAS BAYONAS,134,72,0
21065,EL KHADIR,134,33,0
21110,PEREZ DE MENDIGUREN,133,137,0
21116,DE SAN JUAN,133,127,0
21142,DE RIOJA,133,109,0
21157,DE GISPERT,133,99,0
21217,GIL DE MURO,132,144,0
21220,AFAN DE RIVERA,132,141,0
21247,ESCRIVA DE ROMANI,132,119,0
21254,RUIZ DE INFANTE,132,115,0
21282,DEL REGUERO,132,95,0
21299,BEN AISSA,132,26,0
21314,EL GOUMRI,132,6,0
21321,RUIZ DE EGUILAZ,131,166,0
21356,GARCIA DEL PINO,131,127,0
21380,LOPEZ DE SILANES,131,109,0
21383,MARQUEZ DE PRADO,131,106,19
21395,LOPEZ DE LA TORRE,131,95,0
21402,PEREZ DE VARGAS,131,77,0
21404,DAS DORES,131,70,0
21408,MC CARTHY,131,39,0
21429,LA CRUZ,130,195,0
21481,LOPEZ DE LA FRANCA,130,115,0
21588,DIAZ DE ALDA,129,110,0
21596,QUEIPO DE LLANO,129,103,0
21613,RODRIGUEZ DE VERA,129,68,0
21615,SANCHEZ DEL RIO,129,63,0
21621,EL MAACH,129,25,0
21625,VAN LEEUWEN,129,16,0
21634,ES SALHI,129,7,0
21646,DIAZ DE OTAZU,128,164,0
21699,DEL NIDO,128,108,0
21705,MARTINEZ DE ALEGRIA,128,102,0
21712,MARTIN DE BERNARDO,128,93,0
21713,FERNANDEZ DE HEREDIA,128,90,0
21734,BEN AYAD,128,35,0
21742,DE WIT,128,18,0
21832,RUIZ DE GORDOA,127,97,0
21847,DE MARTINO,127,67,0
21858,EL ASRAOUI,127,17,0
21865,EL AOUAD,127,8,0
21898,DE LA OBRA,126,146,0
21917,DE VES,126,132,0
21943,DEL CASO,126,111,0
21963,DE RODRIGO,126,93,0
21968,RUIZ DE LARRINAGA,126,86,0
21972,LOPEZ DE LA MANZANARA,126,83,0
21986,DE ANGELIS,126,29,0
21996,EL YOUSSOUFI,126,17,0
21998,EL JILALI,126,16,0
22027,DEL PUEYO,125,163,0
22028,FERNANDEZ DE LA PUENTE,125,163,0
22033,DE FARIA,125,146,0
22037,DE PORRAS,125,138,0
22055,GONZALEZ DE MENDOZA,125,123,7
22072,RUIZ DE GORDEJUELA,125,110,0
22073,GOMEZ DE CADIÑANOS,125,109,0
22074,SANCHEZ DE PABLO,125,109,0
22084,LOPEZ DE LA REINA,125,105,0
22085,DE LA ARADA,125,104,0
22095,ROMERO DEL HOMBREBUENO,125,89,0
22099,SAN RAFAEL,125,84,0
22102,GARCIA DE LA CRUZ,125,78,0
22103,VEGA DE SEOANE,125,72,0
22118,EL MARDI,125,24,0
22150,LOPEZ DE IPIÑA,124,152,0
22158,DE LA LOSA,124,138,5
22198,LOPEZ DE AGUILETA,124,109,0
22199,DE LA CIERVA,124,107,0
22229,DE ANGEL,124,53,0
22239,EL BADRI,124,27,0
22240,EL AZOUZI,124,24,0
22245,EL HABIB,124,18,0
22251,EL HAMIDI,124,13,0
22260,EL ASRY,124,5,0
22270,DE AGUILAR,123,198,0
22272,DE AQUINO,123,162,0
22276,DO VALE,123,156,0
22278,DE LA ROZ,123,153,0
22305,DE ARANA,123,127,0
22307,SAENZ DE JUBERA,123,126,0
22326,LOPEZ DE LA OSA,123,114,0
22345,BEN MOHAMED,123,100,0
22352,DE ELIAS,123,88,0
22360,DE LA RASILLA,123,79,0
22362,PEREZ DE OBANOS,123,77,0
22371,EL YEMLAHI,123,25,0
22383,EL BAHRAOUI,123,12,0
22405,GARCIA DE LA PLAZA,122,143,0
22423,ORTIZ DE GUZMAN,122,125,0
22434,DE PALMA,122,114,0
22439,DEL ALCAZAR,122,109,0
22467,LOPEZ DE SOSOAGA,122,97,0
22468,DE OLANO,122,96,0
22497,EL EMRANI,122,32,0
22500,EL KANDOUSSI,122,24,0
22505,EL MERABET,122,13,0
22509,EL AMMARI,122,11,0
22539,LOPEZ DE LA RICA,121,147,7
22549,RUIZ DE LARRAMENDI,121,132,0
22555,GARCIA DEL REAL,121,124,0
22561,LOPEZ DE CASTRO,121,120,0
22577,DE DIAGO,121,105,0
22608,VAZQUEZ DE PRADA,121,73,0
22625,EL MEZIANI,121,20,0
22629,BEN MESSAOUD,121,15,0
22636,UR REHMAN,121,8,0
22723,LOPEZ DE VICUÑA,120,93,0
22737,DE HOZ,120,75,0
22762,EL ALOUI,120,15,0
22779,GONZALEZ DE DURANA,119,161,0
22819,DE QUINTANA,119,117,0
22821,DE AGUIAR,119,115,0
22825,MARTIN DE LUCIA,119,111,0
22840,FERNANDEZ DE AGUIRRE,119,96,0
22844,FERNANDEZ DE LAS HERAS,119,94,0
22846,GONZALEZ DE AUDICANA,119,93,0
22852,LOPEZ DE SUBIJANA,119,89,0
22858,SANCHEZ DE LAS MATAS,119,78,0
22875,DE SANTIS,119,27,0
22877,EL AZOUAN,119,26,6
22878,EL GUENNOUNI,119,21,0
22882,EL MARZGUIOUI,119,18,6
22884,EL JABRI,119,14,0
22903,GIL DELGADO,118,176,0
22906,DA SILVEIRA,118,165,0
22987,PARDO DE SANTAYANA,118,73,0
22988,DE JAIME,118,71,0
22998,EL BAKOURI,118,34,0
23004,EL KANFOUDI,118,23,0
23019,EL HAJJAJI,118,8,0
23034,DE MENDOZA,117,211,0
23040,DE UGARTE,117,150,0
23042,LOPEZ DE ARBINA,117,147,0
23045,DE PRADOS,117,137,0
23054,DEL COLLADO,117,128,0
23086,GONZALEZ DEL VALLE,117,101,0
23091,DE LA ROCA,117,97,0
23104,DE OLEZA,117,84,0
23109,DE LA VALLINA,117,82,0
23113,GONZALEZ DE CANALES,117,77,0
23116,LOPEZ DE CALLE,117,65,0
23132,EL GHAOUAL,117,21,0
23143,EL KHATTAB,117,14,0
23189,DE LAGO,116,130,0
23199,FERNANDEZ DE ARANGUIZ,116,125,0
23202,LOPEZ DE SABANDO,116,123,0
23239,DE LOZAR,116,95,0
23243,RUIZ DE LA CUESTA,116,91,0
23261,GARCIA DEL RIO,116,73,0
23262,DE ISLA,116,69,0
23279,EL MOHAMMADI,116,22,0
23314,DE LA HIJA,115,136,0
23325,DIAZ DE CORCUERA,115,124,0
23331,DE PINTO,115,118,0
23332,SAN ANTON,115,118,0
23355,DE LA MAYA,115,102,0
23368,DEL ORO,115,96,0
23383,LA PARRA,115,88,0
23399,DE ORBE,115,75,0
23403,GARCIA DE LA MORA,115,70,0
23452,LA CALLE,114,173,0
23477,DE LIS,114,126,0
23534,DE LA ESCALERA,114,88,0
23552,FERNANDEZ DE GOROSTIZA,114,70,0
23568,EL AKHAL,114,23,0
23630,LOPEZ DE ABECHUCO,113,112,0
23641,DE DEUS,113,103,0
23655,DIAZ DE MENDIVIL,113,98,0
23662,DE LA MADRID,113,88,0
23672,GONZALEZ DE LARA,113,81,0
23700,DE BOER,113,32,0
23730,ES SADKI,113,0,0
23795,RUIZ DE ALDA,112,104,0
23809,DE LA LOMA,112,96,0
23814,RUIZ DE CASTROVIEJO,112,95,0
23831,DE LA TORRIENTE,112,83,0
23864,EL MARNISSI,112,7,0
23866,EL KAMOUNI,112,6,0
23890,BELTRAN DE GUEVARA,111,140,0
23894,DE PUIG,111,130,0
23905,DE PEDRAZA,111,119,0
23936,DE SAN NICOLAS,111,98,0
23947,DE GOÑI,111,91,0
23955,LOPEZ DE VERGARA,111,86,0
23956,OCHOA DE ASPURU,111,86,0
23973,GARCIA DE VEAS,111,69,0
23974,DE SALVADOR,111,66,0
23994,EL KHARROUBI,111,19,0
24000,EL MAHDAOUI,111,11,0
24025,MARTINEZ DE MURGUIA,110,157,0
24038,RUBIN DE CELIS,110,130,0
24041,GARCIA DEL MORAL,110,124,0
24058,GARCIA DE DIONISIO,110,111,0
24083,JIMENEZ DE ABERASTURI,110,95,0
24084,DE ROS,110,94,0
24093,LA CHICA,110,88,0
24128,EL KASSIMI,110,30,0
24137,EL YAGOUBI,110,12,0
24148,EL LYAZIDI,110,5,0
24185,DE BARRIO,109,114,0
24204,RAMIREZ DE VERGER,109,106,0
24206,MARTIN DE EUGENIO,109,102,0
24210,DA VILA,109,101,0
24241,SERRANO DE LA CRUZ,109,81,0
24249,GUTIERREZ DEL ALAMO,109,76,0
24253,DE LAS NIEVES,109,74,0
24254,SAENZ DE PIPAON,109,74,0
24274,EL BAKHTI,109,22,0
24283,DI STEFANO,109,10,0
24306,DE AYALA,108,216,0
24307,DEL ANGEL,108,183,0
24320,DE AGUIRRE,108,129,0
24324,DE COSSIO,108,125,0
24356,SAINZ DE VICUÑA,108,102,0
24368,SAN ROQUE,108,98,0
24369,SOLO DE ZALDIVAR,108,98,0
24380,DE ISCAR,108,90,0
24385,SANCHEZ DE LA MORENA,108,86,0
24394,MARTINEZ DE MARAÑON,108,82,0
24397,GONZALEZ DE CHAVEZ,108,80,0
24400,JIMENEZ DE CISNEROS,108,76,0
24404,SAENZ DE SANTAMARIA,108,71,0
24416,DE LA FIGUERA,108,58,0
24425,BEN AHMED,108,30,0
24434,EL HOUSSAINI,108,21,5
24437,EL FADILI,108,20,0
24447,EL ALLOUCHI,108,14,0
24526,LOPEZ DE MATURANA,107,104,0
24542,DE LA CERA,107,98,0
24565,BRAVO DE MEDINA,107,87,0
24566,MARTIN DE HIJAS,107,87,0
24578,GAYTAN DE AYALA,107,79,0
24603,GONZALEZ DE HEREDIA,107,51,0
24620,EL AOUFI,107,15,0
24636,EL BOURKHISSI,107,0,0
24643,DE LOPEZ,106,585,0
24659,SAENZ DE NAVARRETE,106,117,0
24672,DA VEIGA,106,107,0
24673,DE JODAR,106,107,0
24678,RUIZ DE ZARATE,106,104,0
24686,DE SENA,106,101,0
24692,RUIZ DE LOS PAÑOS,106,96,0
24696,PEREZ DEL PULGAR,106,94,0
24702,GONZALEZ DE CASTEJON,106,91,0
24706,PEREZ DE VIÑASPRE,106,89,0
24731,MARTINEZ DE UBAGO,106,78,0
24732,RAMIREZ DE LA PISCINA,106,76,0
24735,DOS RAMOS,106,70,0
24739,DEL CASTILLO OLIVARES,106,68,0
24758,DI MARCO,106,27,0
24765,EL OUAZIZI,106,17,0
24767,EL BARKANI,106,14,0
24768,EL YAHIAOUI,106,14,0
24805,DE LEMA,105,141,5
24816,DE LA BANDERA,105,120,0
24888,GARCIA DE LA REINA,105,74,0
24896,MARTINEZ DE ESPRONCEDA,105,67,0
24903,DE GONZALO,105,59,0
24909,ALONSO DE ARMIÑO,105,53,0
24924,EL ASSRI,105,18,0
24927,EL MOKADEM,105,15,0
24960,IZAR DE LA FUENTE,104,137,0
24967,SAEZ DE TEJADA,104,131,0
24982,DEL PLIEGO,104,117,0
25018,DE LA BELLA,104,100,0
25030,DE PAUL,104,95,0
25033,MARTINEZ DE PINILLOS,104,94,0
25061,SAEZ DE ADANA,104,79,0
25064,LOPEZ DE COCA,104,76,0
25125,DE LA PIEDAD,103,168,0
25129,DE TOLEDO,103,150,0
25141,DE LOMA,103,124,0
25153,DE MERA,103,115,0
25189,MENDEZ DE VIGO,103,92,0
25194,DE SANCHO,103,90,0
25212,DE AUSTRIA,103,83,0
25214,SAENZ DE VITERI,103,81,12
25218,DEL CANO,103,79,0
25245,DE ORY,103,55,0
25252,ALONSO DE LINAJE,103,47,0
25269,EL FECHTALI,103,15,0
25277,EL OUARTI,103,12,0
25286,EL HAMRAOUI,103,7,0
25297,EL ADEL,103,0,0
25301,DE MEDINA,102,264,0
25384,SANCHEZ DE PUERTA,102,90,0
25401,DE CORRAL,102,81,0
25412,MUÑOZ DE LA NAVA,102,77,0
25419,DIAZ DE TERAN,102,70,0
25483,DE OÑATE,101,138,0
25498,SAN ANTOLIN,101,120,0
25513,RUIZ DE AGUIRRE,101,109,0
25525,RUIZ DE LA FUENTE,101,103,0
25531,FERNANDEZ DE MENDIOLA,101,99,0
25536,GIL DE PAREJA,101,96,0
25551,PEREZ DE LA BLANCA,101,90,0
25561,MARTINEZ DE LA PERA,101,83,0
25575,MUÑOZ DE ARENILLAS,101,78,0
25576,NARVAEZ CABEZA DE VACA,101,78,0
25580,DE ESPAÑA,101,76,0
25581,RUIZ DE AUSTRI,101,75,6
25582,GALLEGO DE LERMA,101,74,0
25585,FERNANDEZ DE BETOÑO,101,73,0
25621,EL FATMI,101,17,0
25626,EL ARNOUKI,101,14,0
25633,EL ATIFI,101,10,0
25638,EL HAJJAM,101,8,0
25641,ES SALEHY,101,7,0
25660,DE PEÑA,100,155,0
25681,LOPEZ DE ZUBIRIA,100,116,0
25699,MARTINEZ DE LIZARDUY,100,107,0
25732,LOPEZ DE BRIÑAS,100,88,0
25755,DE LINARES,100,77,0
25777,VAZQUEZ DE LA TORRE,100,60,0
25784,GALLEGO DE LA SACRISTANA,100,53,0
25790,PEREZ DE GRACIA,100,47,0
25797,EL BASRI,100,34,0
25822,EL MAHMOUDI,100,11,0
25856,ORTIZ DE MENDIVIL,99,121,0
25857,DIAZ DE ESPADA,99,120,0
25864,VEA MURGUIA,99,115,0
25872,DEL SOTO,99,110,0
25888,GARCIA DE JALON,99,101,0
25897,DO CAMPO,99,96,0
25898,SAN ILDEFONSO,99,96,0
25902,DE SANCHA,99,94,0
25903,DEL FRAILE,99,94,0
25904,GOMEZ DE ARANDA,99,94,0
25928,GARCIA DE LOS RIOS,99,85,0
25947,LOPEZ DE OCARIZ,99,74,0
25983,EL WAHABI,99,21,0
25984,DI PIETRO,99,20,0
25989,EL OUAZGHARI,99,17,0
26004,EL OMRANI,99,8,0
26035,DE SOLIS,98,124,0
26047,DEL YERRO,98,114,0
26053,DA CONCEPCION,98,110,0
26064,DE MELLO,98,106,0
26109,SAN LAZARO,98,85,0
26121,DE LA ANTONIA,98,76,0
26132,DE SAN PEDRO,98,73,0
26160,EL EDRISSI,98,28,0
26172,EL YACOUBI,98,17,5
26196,EL MORABITI,98,6,0
26209,DE PAREDES,97,158,0
26233,SAINZ DE ROZAS,97,105,0
26235,DE LAS MUELAS,97,104,0
26266,SAN VALENTIN,97,86,0
26273,DE BUEN,97,80,0
26276,LOPEZ DEL PRADO,97,79,0
26290,SAINZ DE LOS TERREROS,97,76,0
26316,DE LA ALDEA,97,62,0
26318,SANCHEZ DE OCAÑA,97,62,0
26338,EL SAYED,97,25,0
26342,EL HARRATI,97,15,0
26366,EL OUJGLI,97,0,0
26367,ET TAMIMI,97,0,0
26405,DE FIGUEIREDO,96,106,0
26434,LA RODA,96,93,0
26449,DIAZ DE DURANA,96,88,0
26454,SANCHEZ DE MOLINA,96,86,0
26459,LA OSA,96,83,0
26467,DE LA PUEBLA,96,80,0
26470,MARTINEZ DE ZUAZO,96,79,0
26472,DE LEMOS,96,77,0
26499,PITA DA VEIGA,96,57,0
26502,DA PALMA,96,53,7
26509,GONZALEZ DE CHAVES,96,46,0
26542,EL AZAMI,96,10,0
26580,DE ARRIBAS,95,112,0
26584,LA HOZ,95,110,0
26593,PEREZ DE VILLARREAL,95,105,0
26599,DE LEMUS,95,99,0
26615,SANCHEZ DE MEDINA,95,93,0
26624,DE LA ESPERANZA,95,89,0
26627,DIAZ DE MERA,95,88,0
26641,RUIZ DE GARIBAY,95,83,0
26651,SEL LAM,95,80,0
26659,FERNANDEZ DE LA REGUERA,95,77,0
26675,SAN LUCAS,95,70,0
26687,DE FEDERICO,95,64,0
26698,PEREZ DE LEMA,95,53,0
26700,GONZALEZ DE LENA,95,48,0
26704,DE LAZARO,95,44,0
26707,EL MEHDI,95,41,0
26730,EL ALI,95,9,0
26733,EL KALLALI,95,8,0
26786,DEL PIE,94,104,0
26838,MARTINEZ DE ICAYA,94,78,0
26842,ENRIQUEZ DE SALAMANCA,94,77,0
26844,GARCIA DE LA MATA,94,76,0
26851,ORTIZ DE ORRUÑO,94,73,0
26865,FERNANDEZ DE TEJADA,94,66,0
26871,DE RAFAEL,94,62,0
26875,RODRIGUEZ DE RIVERA,94,61,0
26986,DE ORTE,93,96,0
26993,RODRIGUEZ DE TEMBLEQUE,93,93,0
27002,SAEZ DE BURUAGA,93,90,0
27031,GONZALEZ DE LA HIGUERA,93,74,0
27035,DIAZ DE BUSTAMANTE,93,72,0
27046,MILANS DEL BOSCH,93,69,0
27063,DE LA MARTA,93,62,0
27079,IBAÑEZ DE ALDECOA,93,49,0
27084,GARCIA DEL PRADO,93,43,0
27085,GUAL DE TORRELLA,93,43,0
27106,EL MAMOUN,93,15,0
27109,EL BAHI,93,13,0
27114,EL BAHJA,93,11,0
27124,EL FATHI,93,7,0
27208,DEL SASTRE,92,88,0
27214,DE VALLES,92,86,0
27217,DE LOS OJOS,92,85,0
27218,DE MIQUEL,92,85,0
27230,DE OÑA,92,78,0
27240,RUIZ DE VILLA,92,75,0
27280,CARO DE LA BARRERA,92,36,0
27284,DI LORENZO,92,29,0
27287,EL GHAILANI,92,24,0
27296,EL BATTIOUI,92,16,0
27299,VAN DER LINDEN,92,15,0
27307,EL HATIMI,92,7,0
27312,EL YAMLAHI,92,6,0
27332,DE SANTANA,91,182,0
27364,EL BUSTO,91,103,0
27372,RUIZ DE PASCUAL,91,100,0
27373,GONZALEZ DE AGUILAR,91,99,0
27382,DIAZ DE ARGANDOÑA,91,95,0
27402,DE LA NATIVIDAD,91,88,0
27435,GARCIA DE LA SERRANA,91,76,0
27438,GONZALEZ DE LA RUBIA,91,75,0
27444,DEL ESPINO,91,73,0
27462,GIL BERMEJO,91,64,0
27464,DE NAVAS,91,63,0
27475,DE LEONARDO,91,55,0
27491,FERNANDEZ DE LA PRADILLA,91,30,0
27505,DE FATIMA,91,18,0
27510,EL BOUCHTI,91,14,0
27521,EL HAFI,91,9,0
27562,FERNANDEZ DE LUCO,90,114,0
27570,DE LA VERA,90,102,0
27624,DE GALDO,90,76,0
27638,DE CIMA,90,71,0
27639,REY DE VIÑAS,90,71,0
27666,SAN LEON,90,61,0
27674,DE LAS RIVAS,90,55,0
27683,DE LA BARREDA,90,45,0
27696,EL AMIRI,90,16,0
27705,EL OUMARI,90,10,0
27717,EL HIMER,90,5,0
27743,DE ABIA,89,130,0
27754,DE VILLA,89,117,0
27762,DE LA BASTIDA,89,111,0
27769,FERNANDEZ DE JAUREGUI,89,105,0
27776,DE ALONSO,89,101,0
27808,DEL JUNCO,89,85,0
27820,SAN ISIDORO,89,81,0
27821,MARTINEZ DE ARENAZA,89,80,0
27831,CHICO DE GUZMAN,89,78,0
27853,RUIZ DE VIÑASPRE,89,71,0
27861,RUIZ DE CASTAÑEDA,89,68,0
27873,MARTINEZ DE LUCO,89,62,0
27879,NUÑEZ DE PRADO,89,59,0
27883,DE MAS,89,56,0
27888,MUÑOZ DE LUNA,89,54,0
27893,PUIG DE LA BELLACASA,89,51,0
27896,PEREZ DEL PALOMAR,89,50,0
27905,DE SIMONE,89,29,0
27906,DE VOS,89,29,0
27910,EL ABBOUDI,89,25,0
27934,EL ATTABI,89,5,0
27946,EL MAHFOUDI,89,0,0
27993,MARCOS DE LEON,88,101,0
28000,SAN FULGENCIO,88,97,0
28013,DE SAN JOSE,88,92,0
28020,RUIZ DE OCENDA,88,88,0
28027,MARTIN DE LAS MULAS,88,85,0
28035,DE TOVAR,88,81,0
28042,REAL DE ASUA,88,80,0
28049,RUIZ DE ESCUDERO,88,77,0
28063,MARTIN DE LOS SANTOS,88,69,0
28073,MARTIN DE BLAS,88,62,0
28085,DE ZULUETA,88,58,0
28101,FERNANDEZ DE QUINCOCES,88,49,0
28140,EL FELLAH,88,10,0
28149,AIT ALI,88,7,0
28184,DE RAMOS,87,193,0
28185,DE LA PASCUA,87,168,0
28200,DE PANDO,87,105,0
28203,RUIZ DEL VALLE,87,103,0
28209,DEL POZUELO,87,98,0
28213,DE LAS MORAS,87,97,0
28288,DE SANTA ANA,87,71,0
28300,MARTINEZ DE RITUERTO,87,64,0
28302,MARTIN DE LA FUENTE,87,63,0
28309,SAEZ DE LAFUENTE,87,60,0
28311,DE ARQUER,87,59,0
28313,LOPEZ DE LA VIEJA,87,59,0
28318,DE RADA,87,56,0
28328,EL BACHIR,87,49,0
28331,MARTINEZ DE LAGOS,87,47,0
28333,DE BEJAR,87,46,0
28361,EL HOUSNI,87,15,0
28365,BEN DRISS,87,13,0
28366,EL ATTAOUI,87,11,0
28367,EL YOUBI,87,11,0
28373,EL KHAYARI,87,6,0
28375,UL HAQ,87,5,0
28429,DE PINHO,86,95,0
28441,DIEZ DE RIVERA,86,89,0
28445,DELGADO DE MENDOZA,86,86,6
28449,MARTINEZ DE LA HIDALGA,86,86,0
28465,DE LA LLERA,86,78,0
28477,GARCIA DE ITURROSPE,86,71,0
28481,GARCIA DE GARAYO,86,70,0
28485,DA GRACA,86,67,0
28494,DE FUENTE,86,63,0
28506,DE EUGENIO,86,55,0
28507,GARCIA DE VIEDMA,86,55,0
28526,GARCIA DE ALCARAZ,86,36,0
28529,DE LECEA,86,34,0
28551,EL JARROUDI,86,14,7
28557,EL HADDAR,86,11,0
28627,SAN SALVADOR,85,92,0
28638,LERDO DE TEJADA,85,86,0
28651,SANCHEZ DE PEDRO,85,80,0
28658,DE HOCES,85,76,0
28688,MORENO DE LA SANTA,85,65,0
28701,RUIZ DE OÑA,85,59,0
28703,FERNANDEZ DEL VISO,85,57,0
28706,GONZALEZ DEL TANAGO,85,56,0
28719,FERNANDEZ DE PEÑARANDA,85,49,0
28726,DEL BAS,85,45,0
28734,GARCIA DE SOLA,85,37,0
28746,DEL VECCHIO,85,21,0
28750,VAN BEEK,85,17,0
28752,EL MASOUDI,85,15,0
28761,EL BAKKOURI,85,10,0
28767,EL KHATTOUTI,85,8,0
28770,EL GHANI,85,7,0
28782,EL BEGHDADI,85,0,0
28783,EL JELLOULI,85,0,0
28802,DE ACUÑA,84,143,0
28849,LOPEZ DE ARROYABE,84,89,0
28884,DIAZ DE ARCAYA,84,75,0
28894,DE CON,84,73,0
28927,GARCIA DE POLAVIEJA,84,56,0
