,apellido,frec_pri,frec_seg,freq_rep
5863,SAN ANTONIO,709,637,0
5873,EL YAAKOUBI,707,66,0
5889,DE LUNA,705,626,0
5938,DE MANUEL,697,481,6
5939,EL AISSAOUI,697,143,31
5963,LA ROSA,694,684,6
5985,DE LA VARGA,692,661,9
5990,EL YOUSFI,692,103,7
5998,DE LA CUEVA,691,611,9
6003,GOMEZ DE SEGURA,690,667,0
6008,DE LA OSSA,690,502,0
6017,DEL ESTAL,689,642,32
6049,DEL VILLAR,684,708,6
6111,BERNALDO DE QUIROS,676,614,0
6132,DE FELIPE,673,391,0
6142,DE MORA,671,694,0
6144,SAN JULIAN,671,673,0
6171,DEL PESO,668,742,10
6183,DEL PALACIO,667,616,0
6188,DE LA RICA,666,666,5
6234,DE LOS ANGELES,659,701,6
6238,DE JULIAN,659,630,9
6264,ESPINOSA DE LOS MONTEROS,656,548,0
6268,DE CARVALHO,655,1046,0
6321,CABEZA DE VACA,648,627,0
6323,DE LORENZO,648,258,0
6329,DE PACO,647,586,12
6343,DE LOS MOZOS,645,565,0
6364,EL ABDELLAOUI,643,79,18
6426,EL AMRI,635,93,0
6469,DE LA VILLA,630,574,15
6472,DE ARAUJO,629,832,0
6519,DE LA FE,624,720,22
6560,DE SOTO,620,578,0
6593,DE HOYOS,616,612,0
6595,ORTIZ DE URBINA,616,584,0
6795,LA TORRE,592,821,5
6837,DE LERA,586,654,5
6853,EL AMRAOUI,586,81,0
6921,EL ALAMI,579,127,10
6952,DE LA O,576,484,0
6964,DE DOMINGO,575,434,5
6970,DEL BURGO,574,611,0
6977,DE PAULA,574,526,0
6993,DE LA CAMARA,572,606,0
7005,DE LA VIUDA,571,529,0
7070,EL HAMDAOUI,565,94,7
7078,DE NICOLAS,564,424,0
7128,EL FOUNTI,559,243,29
7172,DE MARIA,554,392,0
7180,DE SANDE,552,608,7
7262,EL AZZOUZI,545,50,0
7280,EL MESSAOUDI,543,110,0
7307,EL HASNAOUI,541,59,7
7313,SAN CRISTOBAL,540,571,0
7315,DE ARCOS,540,517,0
7323,EL MORABIT,540,85,0
7345,DE LA BARRERA,537,520,0
7368,DE JUANA,535,503,0
7395,DE LA COBA,533,483,0
7427,EL MOURABIT,530,72,8
7433,DE FUENTES,529,513,14
7508,SAN FRUTOS,523,462,0
7530,DE LA HORRA,521,473,7
7540,DEL VIEJO,520,504,9
7672,DE LA ROCHA,511,453,0
7682,EL KHATTABI,510,99,0
7684,EL MOUDEN,510,57,12
7685,DE LA CORTE,509,648,7
7697,DE BUSTOS,508,569,0
7776,DE LA CERDA,502,447,0
7811,RAMIREZ DE ARELLANO,498,458,0
7812,DE MENA,498,429,6
7840,LOPEZ DE MUNAIN,496,390,6
7843,DE ROJAS,495,776,0
7885,DE LA PUERTA,492,515,0
7904,DE LA PARTE,490,540,0
7946,DE LA SIERRA,487,429,0
7956,DE LA PARRA,486,556,9
7958,DEL PERAL,486,520,0
7975,DE MARCO,485,385,9
8001,DEL RIEGO,483,419,0
8030,EL KADDOURI,481,77,5
8092,DEL OJO,474,534,0
8104,DE TOMAS,474,318,0
8129,DE LAS CASAS,472,344,0
8130,EL HADRI,472,100,0
8201,EL MAIMOUNI,466,92,39
8276,DE MOYA,460,403,5
8278,DE LA HIGUERA,460,388,0
8310,DE MATOS,457,446,0
8368,DE LA OLIVA,453,535,6
8369,DE CASO,453,486,0
8380,EL ALAOUI,453,73,0
8410,RUIZ DE GAUNA,451,451,7
8468,DE AGUSTIN,447,433,6
8477,EL HADDOUCHI,447,46,0
8567,EL YAHYAOUI,442,51,0
8612,DE LA MAZA,439,341,0
8663,DE MAYA,435,470,0
8665,DE LA CUADRA,435,465,0
8710,DE LA NAVA,433,400,0
8746,EL HASSANI,431,139,0
8788,DE LAMA,427,399,0
8826,DE ABAJO,425,420,0
8834,DE LAS CUEVAS,425,343,6
8893,EL OUARDI,421,41,0
8948,DEL BAÑO,417,392,0
8954,DE LOPE,417,356,7
8967,EL ALLALI,416,84,0
8977,DEL BRIO,415,394,0
9020,DE SOLA,412,413,0
9022,DEL TESO,412,406,9
9068,DE MARTIN,410,229,0
9088,EL KHAYAT,409,110,23
9091,EL AYADI,409,46,5
9092,EL AOUNI,409,29,0
9103,DEL VISO,408,382,0
9109,EL HILALI,408,43,0
9166,DE CAMPOS,405,430,0
9174,ROMERO DE AVILA,405,352,7
9179,DE RAMON,405,177,0
9195,PEREZ DE ALBENIZ,404,271,11
9196,DE NOVA,404,263,0
9200,DE BRITO,403,543,0
9225,EL MIRI,403,30,0
9250,DE FEZ,401,497,12
9267,NUÑEZ DE ARENAS,401,354,0
9412,DE TORRE,393,327,0
9430,EL KASMI,392,41,0
9445,PEREZ DE TUDELA,391,299,0
9463,DE ESTEBAN,390,292,8
9467,EL GHAZI,390,50,0
9468,EL FARH,390,33,16
9544,DE ANTA,386,342,0
9549,EL GHOUFAIRI,386,20,7
9565,DE LAS MORENAS,385,324,0
9574,DE LA RUA,384,394,0
9588,EL BADAOUI,384,54,5
9593,SAN AGUSTIN,383,406,0
9628,BEN ALI,382,109,0
9629,BEN AMAR,382,72,0
9723,DE ANA,377,390,0
9731,DE LA ENCARNACION,377,334,0
9738,DE MELO,376,439,0
9749,DE LLANO,376,314,0
9754,DE SA,375,408,0
9760,DEL CASAR,375,349,0
9763,BEN MOUSSA,375,52,0
9770,FERNANDEZ DE CORDOBA,374,363,0
9801,EL MALKI,373,49,0
9803,DE GUZMAN,372,505,0
9823,EL BACHIRI,372,62,0
9845,EL ABBASSI,371,47,0
9898,DE GRADO,368,345,6
9929,FERNANDEZ DE RETANA,367,300,6
9939,DE HERAS,366,412,0
9950,GOMEZ DEL PULGAR,366,272,0
9998,EL MORABET,364,60,0
10001,DE ARCE,363,443,0
10006,DEL BUSTO,363,372,0
10030,SAN BLAS,362,347,0
10040,HURTADO DE MENDOZA,362,230,0
10042,EL HAMRI,362,50,0
10043,EL OUALI,362,50,0
10076,LOS ARCOS,360,413,0
10122,EL FILALI,359,98,0
10141,MARTIN DE VIDALES,358,278,0
10160,DE LA VARA,357,310,0
10177,DEL CUETO,356,341,0
10184,DO CARMO,356,282,0
10205,DA CONCEIÇAO,355,173,0
10209,GARCIA DE LA TORRE,354,370,8
10226,SAN GIL,353,353,0
10238,DE VAL,352,373,0
10251,DE LLANOS,352,305,9
10283,ALVAREZ DE EULATE,351,234,0
10288,DE LA MONTAÑA,350,387,0
10304,DIEZ DE LOS RIOS,350,228,0
10401,SAENZ DE TEJADA,345,348,0
10425,RUIZ DE LA HERMOSA,344,353,10
10455,EL MADANI,343,72,0
10473,DE LUQUE,342,296,0
10553,BELTRAN DE HEREDIA,339,302,0
10557,DEL SOLAR,339,282,0
10606,EL ATTAR,337,61,0
10616,RUIZ DE EGUINO,336,367,17
10646,DE LA LASTRA,335,321,0
10695,DE AVILA,333,351,0
10728,DE RUEDA,332,308,0
10732,DEL ARBOL,332,286,0
10740,EL HADDADI,332,24,0
10741,DE ANDRADE,331,450,0
10755,GARCIA DE VICUÑA,331,287,0
10787,EL YAMANI,330,80,9
10790,EL MRABET,330,46,0
10811,DE LAS PEÑAS,329,267,0
10815,DE JORGE,329,185,0
10832,SANCHEZ DE LEON,328,303,0
10845,EL HAJJI,328,48,5
10852,DE LA MANO,327,368,0
10893,PEREZ DE ARENAZA,326,250,0
10894,DE LA HERRAN,326,246,0
10926,GOMEZ DE LA TORRE,324,317,21
10931,DE MIER,324,302,0
11010,DA FONSECA,321,376,0
11027,DEL CAZ,320,403,10
11067,GARCIA DE BLAS,319,271,0
11098,FERNANDEZ DE PINEDO,318,270,12
11105,EL OMARI,318,29,0
11128,DE LA POZA,317,286,0
11229,DE MESA,313,377,0
11309,EL YAKOUBI,311,39,0
11312,DE LA GALA,310,386,0
11331,LOPEZ DE URALDE,310,253,0
11333,RODRIGUEZ DE GUZMAN,310,245,0
11334,RUIZ DE ALEGRIA,310,245,0
11339,DEL DEDO,309,366,18
11357,HERMOSO DE MENDOZA,309,216,0
11366,SAN FRANCISCO,308,340,0
11374,SAN FELIPE,308,304,0
11390,DE LUCA,308,133,0
11392,EL BAKALI,308,56,5
11427,DE SILVA,306,356,0
11450,DE COZAR,305,359,0
11490,LOPEZ DE ARMENTIA,304,252,0
11494,DE LA PINTA,304,228,0
11515,DE LA BLANCA,303,268,0
11555,EL BOUAZZAOUI,302,23,0
11591,DE CRUZ,300,334,0
11608,DE ARA,300,213,0
11632,DE LA LAMA,299,264,0
11634,DE CASAS,299,261,0
11637,SAN PABLO,299,252,0
11644,EL OUAFI,299,32,0
11667,ALVAREZ DE TOLEDO,298,204,0
11672,EL BOUAZZATI,298,34,6
11699,VELEZ DE MENDIZABAL,297,243,5
11739,EL HICHOU,296,90,6
11740,EL OUARIACHI,296,73,0
11743,EL GHAZOUANI,296,48,0
11746,EL KADI,296,40,0
11809,FERNANDEZ DE ARROYABE,294,235,0
11902,DE AMO,290,286,0
11905,SAN BARTOLOME,290,261,0
11932,CARRILLO DE ALBORNOZ,289,271,0
11936,CALVO DE MORA,289,244,6
11948,EL HACHIMI,289,29,0
11953,DE BARROS,288,382,0
11954,DE ABREU,288,337,0
11998,DE LA LLANA,287,306,0
12001,DEL AGUA,287,296,9
12010,SECO DE HERRERA,287,252,0
12015,SANCHEZ DE LA BLANCA,287,234,0
12019,FERNANDEZ DE BOBADILLA,287,199,16
12049,EL MESBAHI,286,43,0
12070,DE MATA,285,258,0
12086,DEL COSO,284,296,0
12106,EL MAATAOUI,284,19,0
12129,DEL PASO,283,257,0
12133,RUIZ DE LOIZAGA,283,241,0
12146,EL YAZIDI,283,39,0
12148,EL KADIRI,283,36,5
12182,LOPEZ DE LERMA,282,221,0
12213,DE CEA,281,268,0
12223,DE LA CUERDA,281,222,0
12227,EL HAMMOUTI,281,109,11
12266,EL HMIDI,280,21,0
12277,SANCHEZ DE LA NIETA,279,286,0
12282,MANRIQUE DE LARA,279,274,0
12290,PEREZ DE NANCLARES,279,251,0
12322,DE LA LUZ,278,242,0
12372,SAENZ DE BURUAGA,276,260,5
12386,DE BERNARDO,276,198,0
12394,EL GOUAL,276,7,0
12423,DE LOS BUEIS,275,256,0
12440,EL MAMOUNI,275,18,0
12473,EL HAYANI,274,43,0
12550,DEL JESUS,271,282,0
12600,DE LUZ,270,245,7
12611,DE LA HAZA,270,204,0
12620,SAN LUIS,269,361,0
12646,EL MAHI,269,63,0
12649,EL BAROUDI,269,30,0
12680,DE LA PRIDA,268,211,0
12687,DE JONG,268,42,0
12717,DE SALAS,267,243,0
12723,DE LA HUERGA,267,208,0
12726,DIAZ DEL RIO,267,151,0
12766,DE CACERES,265,439,0
12794,GIL DE GOMEZ,265,211,0
12800,EL HAMDI,265,30,0
12848,DE FRIAS,263,286,0
12859,DE ANCOS,263,246,9
12886,RUIZ DE ARCAUTE,262,238,0
12893,GIL ORTEGA,262,223,12
12928,DAS NEVES,261,240,0
12946,SANCHEZ DE LA CAMPA,261,184,0
12947,EL HADI,261,106,0
12977,LASSO DE LA VEGA,260,212,0
12982,EL MOKHTARI,260,50,0
13009,GARCIA DE LA ROSA,259,256,0
13039,DA LUZ,258,264,0
13089,DEL SALTO,257,224,0
13099,BEN OMAR,257,41,0
13100,EL ALLAOUI,257,31,0
13170,LOPEZ DE LACALLE,255,228,0
13183,DE RIVAS,254,340,6
13202,GARCIA DE PAREDES,254,239,0
13207,DEL CORRO,254,235,0
13216,DE BURGOS,254,196,0
13217,GARCIA DE MARINA,254,192,0
13221,DEL PORTILLO,254,149,0
13224,EL BAGHDADI,254,67,6
13261,BERMUDEZ DE CASTRO,253,180,0
13326,DE MATEO,251,213,0
13331,GARCIA DE VINUESA,251,159,0
13333,EL OUAZZANI,251,40,0
13359,MARTINEZ DE LA CASA,250,219,0
13376,DEL EGIDO,249,303,0
13383,DE LA RED,249,257,0
13398,FERNANDEZ DE LANDA,249,200,0
13408,EL MIR,249,28,0
13441,EL JAOUHARI,248,34,8
13458,DE GOMAR,247,247,0
13481,MUÑOZ DE LEON,247,191,0
13487,EL BOUHALI,247,42,0
13488,EL BOUKHARI,247,28,0
13490,EL HAOUARI,247,27,0
13502,DA ROSA,246,271,0
13525,DE SIMON,246,173,0
13531,EL FARISSI,246,38,0
13585,EL HADDAOUI,245,33,0
13636,LA ORDEN,243,256,0
13657,SAENZ DE URTURI,243,159,0
13664,EL KHADIRI,243,25,0
13669,DE VARGAS,242,558,0
13690,DE LA MOTA,242,231,0
13708,EL OUAKILI,242,72,6
13729,DE MATIAS,241,249,11
13742,SAN FELIX,241,223,0
13811,EL ISSAOUI,240,53,9
13822,DE ROA,239,277,0
13839,RUIZ DE ARBULO,239,229,0
13848,DEL NOGAL,239,197,0
13855,DE LA DUEÑA,239,125,0
13867,DIAZ DEL CAMPO,238,269,0
13901,EL KHARRAZ,238,45,0
13977,EL MANSSOURI,236,20,0
14009,DEL CACHO,235,184,0
14017,EL YAAGOUBI,235,35,0
14023,LA FUENTE,234,409,0
14053,SANCHEZ DE ROJAS,234,202,0
14059,DE HITA,234,185,0
14068,BEN HAMMOU,234,41,0
14086,BRAVO DE LAGUNA,233,252,0
14151,LOPEZ DE LUZURIAGA,232,201,0
14159,EL FAKIR,232,55,0
14160,EL AZIZI,232,48,8
14162,EL MOUDDEN,232,36,0
14170,SAN ESTEBAN,231,272,0
14193,SAEZ DE IBARRA,231,212,0
14194,DE LA CALZADA,231,210,0
14213,EL ABDI,231,32,0
14231,DE LA MORA,230,221,0
14237,DE SAA,230,212,0
14241,GARCIA DE ALBENIZ,230,199,10
14254,SAN GREGORIO,230,157,0
14277,DE LA ROZA,229,250,0
14290,GONZALEZ DE LA ALEJA,229,201,12
14291,DE LA CAMPA,229,199,0
14332,LOPEZ DEL CASTILLO,228,181,0
14358,PEREZ DE ARRILUCEA,227,232,0
14388,BEN SAID,227,59,0
14412,DE LA ENCINA,226,223,0
14429,GARCIA DE CORTAZAR,226,195,8
